product_title,craft_type,material_cost,price,median_competitor_price,cost_floor,source
Handmade Crocheted Cotton Baby Blanket,Embroidery,870.0,3050,3700,1300,synthetic_benchmark
Artisan Sandalwood Carved Incense Stick Holder,Woodwork,540.0,1500,1650,850,synthetic_benchmark
Handcrafted Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,1080.0,3150,3900,1600,synthetic_benchmark
Custom Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,1190.0,1900,2100,1750,synthetic_benchmark
Artisan Terracotta Handpainted Statement Jewelry Set,Jewelry,460.0,2200,2850,750,synthetic_benchmark
Hand-Stitched Patchwork Quilt Throw Blanket,Embroidery,740.0,1750,2050,1150,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,800.0,2900,3550,1200,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,2200.0,5700,6550,3200,synthetic_benchmark
Hand-Beaten Brass Dining Platter Thali Set,Metalwork,860.0,2100,2600,1300,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,1350.0,2250,2750,2000,synthetic_benchmark
Eco-Friendly Traditional Handpainted Clay Diya Festive Set,Pottery & Clay,310.0,1000,1300,550,synthetic_benchmark
Hand-Beaten Brass Dining Platter Thali Set,Metalwork,290.0,1000,1250,500,synthetic_benchmark
Kantha Stitch Embroidered Cotton Cushion Covers Pair,Embroidery,300.0,1100,1250,500,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,750.0,1900,2450,1150,synthetic_benchmark
Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,520.0,1650,2200,850,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,1010.0,3000,3950,1500,synthetic_benchmark
Deluxe Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,810.0,2500,2950,1250,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,1580.0,3300,3650,2300,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,530.0,1350,1600,850,synthetic_benchmark
Handmade Sandalwood Carved Incense Stick Holder,Woodwork,730.0,2400,3100,1100,synthetic_benchmark
Artisan Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,560.0,1800,2150,900,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,1730.0,3400,4100,2500,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,1930.0,7550,8650,2800,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,2460.0,7200,8050,3550,synthetic_benchmark
7-in-1 Aluminium USB-C Multiport Hub Adapter,Electronics,940.0,2300,2700,1400,synthetic_benchmark
Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,1160.0,2800,3250,1700,synthetic_benchmark
Handwoven Woolen Kashmiri Pashmina Shawl,Handloom Textile,1800.0,5250,7000,2600,synthetic_benchmark
Artisan Ceramic Planter with Drainage Plate,Pottery & Clay,350.0,1050,1300,600,synthetic_benchmark
Vintage Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,400.0,1650,2200,650,synthetic_benchmark
Authentic Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,1070.0,3900,5050,1600,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,1680.0,5350,7000,2450,synthetic_benchmark
Authentic Khadi Cotton Handloom Kurta for Men,Handloom Textile,2590.0,7550,8550,3750,synthetic_benchmark
Authentic 7-in-1 Aluminium USB-C Multiport Hub Adapter,Electronics,880.0,2050,2400,1350,synthetic_benchmark
Handmade Premium 60W Fast Charging Laptop Charger Power Adapter,Electronics,1380.0,3500,4450,2050,synthetic_benchmark
Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,1350.0,3600,4700,2000,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,730.0,1450,1800,1100,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,420.0,1150,1500,700,synthetic_benchmark
Earthen Clay Cooking Handi Pot,Pottery & Clay,380.0,1200,1400,650,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,350.0,1300,1500,600,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,300.0,950,1100,500,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,800.0,1700,1950,1200,synthetic_benchmark
Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,3000.0,6700,7400,4300,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,240.0,950,1100,450,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,1330.0,2950,3450,1950,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,2630.0,8350,10100,3800,synthetic_benchmark
10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,1420.0,2300,2850,2100,synthetic_benchmark
Custom Phulkari Hand-Embroidered Traditional Dupatta,Embroidery,840.0,2100,2400,1300,synthetic_benchmark
Handmade Khadi Cotton Handloom Kurta for Men,Handloom Textile,3360.0,6350,7400,4800,synthetic_benchmark
Custom Handcrafted Oxidised 925 Silver Tribal Choker Necklace,Jewelry,2450.0,5850,6500,3550,synthetic_benchmark
Authentic Handloom Pure Silk Banarasi Saree with Zari Border,Handloom Textile,1570.0,3850,4700,2300,synthetic_benchmark
Artisan Glazed Ceramic Dining Soup Bowls Set of 4,Pottery & Clay,220.0,750,950,400,synthetic_benchmark
Classic Terracotta Handpainted Statement Jewelry Set,Jewelry,550.0,1550,2050,850,synthetic_benchmark
Handmade Sandalwood Carved Incense Stick Holder,Woodwork,360.0,950,1050,600,synthetic_benchmark
Artisan Handmade Crocheted Cotton Baby Blanket,Embroidery,260.0,850,1000,450,synthetic_benchmark
Handmade Brass Diya Oil Lamp Hanging,Metalwork,1420.0,3400,4550,2100,synthetic_benchmark
Vintage Pure Bronze Kansa Serving Bowls Set of 2,Metalwork,1460.0,4050,4500,2150,synthetic_benchmark
Mirror Work Kutch Embroidered Wall Tapestry,Embroidery,1000.0,3350,4050,1500,synthetic_benchmark
Artisan Hand-Carved Wooden Wall Panel Relief,Woodwork,320.0,1200,1450,550,synthetic_benchmark
Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,220.0,900,1150,400,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,990.0,2500,2800,1500,synthetic_benchmark
Artisan Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,390.0,950,1150,650,synthetic_benchmark
Exquisite Handmade Brass Pooja Bell with Peacock Handle,Metalwork,420.0,1500,1950,700,synthetic_benchmark
Handspun Cotton Table Runner with Tribal Motifs,Handloom Textile,1050.0,3100,3600,1550,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,670.0,2250,2800,1050,synthetic_benchmark
Traditional Terracotta Handpainted Statement Jewelry Set,Jewelry,1630.0,3900,4300,2400,synthetic_benchmark
Handwoven Woolen Kashmiri Pashmina Shawl,Handloom Textile,1700.0,4450,5150,2500,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,230.0,800,1100,400,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,2200.0,6750,8950,3200,synthetic_benchmark
Traditional Temple Jewelry Gold Plated Pendant,Jewelry,430.0,1150,1350,700,synthetic_benchmark
Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,890.0,2250,3000,1350,synthetic_benchmark
Organic Handloom Linen Scarf with Tassels,Handloom Textile,3130.0,6650,7400,4500,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,2540.0,6900,9250,3650,synthetic_benchmark
Deluxe Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,1520.0,3200,3900,2250,synthetic_benchmark
Handcrafted Handmade Teak Wood Kitchen Spatula & Spoon Set,Woodwork,1150.0,3250,3900,1700,synthetic_benchmark
10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,1370.0,3100,3750,2000,synthetic_benchmark
Authentic Kanjivaram Silk Festive Saree,Handloom Textile,3250.0,9500,12100,4650,synthetic_benchmark
Handcrafted Terracotta Water Pitcher with Traditional Lid,Pottery & Clay,270.0,750,900,500,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,2780.0,6700,8800,4000,synthetic_benchmark
Deluxe Noise Cancelling Over-Ear Studio Headphones,Electronics,1430.0,3200,4100,2100,synthetic_benchmark
Zardozi Work Hand-Embroidered Velvet Clutch Bag,Embroidery,170.0,600,750,350,synthetic_benchmark
Handmade Brass Meenakari Enamel Bangles Set,Jewelry,1840.0,4550,5550,2700,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,740.0,1750,2050,1150,synthetic_benchmark
Handmade Mango Wood Candle Stand Pair,Woodwork,1060.0,3100,3550,1600,synthetic_benchmark
Hand-Embroidered Chikankari Cotton Kurti,Embroidery,940.0,1950,2400,1400,synthetic_benchmark
Antique Finish Pure Copper Water Bottle (1 Litre),Metalwork,1130.0,3400,4400,1700,synthetic_benchmark
Artisan Dhokra Brass Hand-Cast Tribal Figurine,Metalwork,300.0,800,900,500,synthetic_benchmark
Pochampally Ikat Handwoven Saree,Handloom Textile,690.0,2150,2800,1050,synthetic_benchmark
Traditional Handpainted Clay Diya Festive Set,Pottery & Clay,210.0,550,700,400,synthetic_benchmark
Terracotta Handpainted Statement Jewelry Set,Jewelry,1950.0,4700,5650,2850,synthetic_benchmark
Handloom Sambalpuri Silk Traditional Saree,Handloom Textile,600.0,1900,2300,950,synthetic_benchmark
Exquisite Handmade Kundan & Pearl Jhumka Earrings,Jewelry,1880.0,6050,7300,2750,synthetic_benchmark
Handcrafted Handmade Soft Stuffed Bunny Toy Holding a Carrot,Embroidery,720.0,2700,3300,1100,synthetic_benchmark
Traditional Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,1240.0,2900,3650,1850,synthetic_benchmark
USB-C to Lightning Braided Fast Sync Cable,Electronics,1130.0,2300,2750,1700,synthetic_benchmark
Traditional Jamdani Cotton Saree,Handloom Textile,2610.0,7700,8850,3750,synthetic_benchmark
Authentic 10000mAh Magnetic Wireless Power Bank Fast Charge,Electronics,1480.0,3500,4650,2150,synthetic_benchmark
Handcrafted Beaded Semi-Precious Stone Bracelet,Jewelry,2390.0,7700,9600,3450,synthetic_benchmark
45W Type-C Fast Charger for Ultrasharp Laptops,Electronics,960.0,2550,3400,1450,synthetic_benchmark
Ergonomic Wireless Silent Optical Mouse,Electronics,790.0,1300,1650,1200,synthetic_benchmark
Handcrafted Bamboo Wood Bluetooth Wireless Speaker,Electronics,1490.0,3300,3750,2200,synthetic_benchmark
Custom Sculpted Clay Floral Vase with Rustic Finish,Pottery & Clay,90.0,450,500,250,synthetic_benchmark
Artisan Filigree Pure Silver Toe Rings Pair,Jewelry,1670.0,5300,6950,2450,synthetic_benchmark
